fecha,tipo_crimen,nro_area_comunitaria,lat,lon
2019-06-01T05:07:00Z,homicidio,23,41.897949791,-87.728625471
2019-06-01T10:09:00Z,homicidio,71,41.753272058,-87.648962792
2019-06-01T12:46:00Z,homicidio,25,41.877622161,-87.750727697
2019-06-01T11:35:00Z,homicidio,16,41.960145088,-87.699653761
2019-06-02T09:39:00Z,homicidio,37,41.804772841,-87.633256046
2019-06-02T11:30:00Z,homicidio,7,41.911161199,-87.633564277
2019-06-02T11:33:00Z,homicidio,7,41.911161199,-87.633564277
2019-06-03T21:12:00Z,homicidio,27,41.874526187,-87.711901076
2019-06-05T02:11:00Z,homicidio,24,41.890728337,-87.682689318
2019-06-05T07:10:00Z,homicidio,40,41.788480446,-87.623928854
2019-06-05T18:38:00Z,homicidio,25,41.890176109,-87.750532837
2019-06-05T23:55:00Z,homicidio,29,41.862007878,-87.727492147
2019-06-06T16:30:00Z,homicidio,42,41.777810401000004,-87.593008043
2019-06-07T05:21:00Z,homicidio,7,41.926729375,-87.631347326
2019-06-08T11:44:00Z,homicidio,30,41.838058092,-87.710954949
2019-06-08T20:06:00Z,homicidio,40,41.793597589,-87.627785273
2019-06-09T08:22:00Z,homicidio,42,41.774093686,-87.607047693
2019-06-09T15:41:00Z,homicidio,52,41.696804495,-87.535282089
2019-06-12T03:46:00Z,homicidio,49,41.723339662,-87.632089363
2019-06-12T05:01:00Z,homicidio,68,41.773068142,-87.644613509
2019-06-12T13:28:00Z,homicidio,61,41.795380992,-87.665835417
2019-06-13T05:15:00Z,homicidio,19,41.924228431,-87.747117979
2019-06-13T23:35:00Z,homicidio,27,41.88390335,-87.71751699
2019-06-15T13:02:00Z,homicidio,25,41.884897329,-87.754014481
2019-06-15T11:14:00Z,homicidio,69,41.752266466,-87.601569405
2019-06-16T01:35:00Z,homicidio,66,41.770182969,-87.680169774
2019-06-16T06:26:00Z,homicidio,30,41.848873261,-87.712479744
2019-06-16T07:51:00Z,homicidio,48,41.732599207,-87.585555292
2019-06-17T03:37:00Z,homicidio,66,41.776534731,-87.68966672
2019-06-17T04:57:00Z,homicidio,43,41.752480297,-87.56990311
2019-06-17T07:35:00Z,homicidio,6,41.935855273,-87.644257764
2019-06-18T11:06:00Z,homicidio,69,41.776018543,-87.615520426
2019-06-19T19:36:00Z,homicidio,73,41.711437469,-87.639309285
2019-06-20T02:35:00Z,homicidio,66,41.763714219,-87.691781545
2019-06-20T19:49:00Z,homicidio,25,41.879309009,-87.760373544
2019-06-21T23:00:00Z,homicidio,26,41.884545666,-87.737312133
2019-06-21T17:51:00Z,homicidio,44,41.748542818,-87.599046491
2019-06-21T19:52:00Z,homicidio,67,41.773061957,-87.672529994
2019-06-22T03:47:00Z,homicidio,29,41.860175271,-87.709147333
2019-06-22T08:44:00Z,homicidio,26,41.882323559,-87.737982768
2019-06-22T21:28:00Z,homicidio,50,41.71752439,-87.598267882
2019-06-23T09:38:00Z,homicidio,66,41.760272856,-87.680574497
2019-06-23T23:24:00Z,homicidio,26,41.871646482,-87.724008569
2019-06-26T22:10:00Z,homicidio,23,41.89720223,-87.725293698
2019-06-27T19:57:00Z,homicidio,1,42.007407966,-87.666158586
2019-06-29T01:11:00Z,homicidio,27,41.885388355,-87.706929899
2019-06-28T13:55:00Z,homicidio,46,41.747370809,-87.550387856
2019-06-29T10:45:00Z,homicidio,23,41.89370723,-87.708134126
2019-06-29T20:40:00Z,homicidio,71,41.75515014,-87.651435012
2019-06-30T04:49:00Z,homicidio,65,41.783218289,-87.724109542
2019-06-30T11:04:00Z,homicidio,29,41.855965959,-87.729755273
2019-07-02T09:19:00Z,homicidio,1,42.018966968,-87.669084869
2019-07-02T07:09:00Z,homicidio,19,41.917679518,-87.757186578
2019-07-02T15:11:00Z,homicidio,23,41.901908052,-87.739876314
2019-07-03T22:30:00Z,homicidio,69,41.768087791,-87.62662791
2019-07-04T17:17:00Z,homicidio,23,41.895983749,-87.711450684
2019-07-05T07:55:00Z,homicidio,37,41.817583306,-87.632386508
2019-07-05T08:07:00Z,homicidio,25,41.897111946,-87.75075628
2019-07-06T00:43:00Z,homicidio,25,41.886717726,-87.755294419
2019-07-07T00:43:00Z,homicidio,25,41.884914382,-87.75033461
2019-07-07T11:00:00Z,homicidio,49,41.704304835,-87.634306708
2019-07-09T08:59:00Z,homicidio,23,41.894285768,-87.718717474
2019-07-12T08:34:00Z,homicidio,71,41.729658969,-87.637365697
2019-07-12T22:55:00Z,homicidio,44,41.736392584,-87.621977949
2019-07-12T15:40:00Z,homicidio,25,41.881197451,-87.76653692
2019-07-13T07:20:00Z,homicidio,27,41.882880585,-87.698023476
2019-07-13T08:32:00Z,homicidio,31,41.85943364,-87.661366648
2019-07-13T20:10:00Z,homicidio,34,41.852868298,-87.63091491
2019-07-13T07:55:00Z,homicidio,71,41.750123609,-87.658583016
2019-07-14T04:32:00Z,homicidio,46,41.740347415,-87.553913774
2019-07-14T04:45:00Z,homicidio,46,41.740347415,-87.553913774
2019-07-13T15:15:00Z,homicidio,43,41.753050735,-87.555526554
2019-07-14T09:11:00Z,homicidio,29,41.860341651,-87.714028096
2019-07-14T11:32:00Z,homicidio,25,41.894960427,-87.753460758
2019-07-14T23:11:00Z,homicidio,43,41.769049288,-87.576378338
2019-07-16T05:50:00Z,homicidio,53,41.684996717,-87.648603163
2019-07-18T09:42:00Z,homicidio,27,41.886341244,-87.712098747
2019-07-19T01:40:00Z,homicidio,43,41.758866925,-87.577055116
2019-07-20T01:31:00Z,homicidio,49,41.702539626,-87.628814568
2019-07-20T05:29:00Z,homicidio,67,41.780873262,-87.661824508
2019-07-23T04:33:00Z,homicidio,49,41.686132926,-87.638552554
2019-07-23T20:09:00Z,homicidio,49,41.699864066,-87.623933281
2019-07-25T01:24:00Z,homicidio,36,41.821525619,-87.603551263
2019-07-25T23:37:00Z,homicidio,59,41.831594882,-87.682646388
2019-07-26T01:55:00Z,homicidio,29,41.860997913,-87.70300142
2019-07-27T03:38:00Z,homicidio,69,41.757564743,-87.634473052
2019-07-27T03:36:00Z,homicidio,69,41.757564743,-87.634473052
2019-07-27T05:50:00Z,homicidio,25,41.894143418,-87.767924691
2019-07-27T10:09:00Z,homicidio,61,41.79410148,-87.660076557
2019-07-27T12:22:00Z,homicidio,28,41.864102036,-87.655833034
2019-07-27T19:34:00Z,homicidio,69,41.771970728,-87.62347293
2019-07-28T01:42:00Z,homicidio,29,41.860134288,-87.732333465
2019-07-28T10:12:00Z,homicidio,29,41.862942442,-87.707306891
2019-07-22T22:31:00Z,homicidio,69,41.765230473,-87.626545636
2019-07-31T22:32:00Z,homicidio,29,41.860315864,-87.712809585
2019-08-02T18:41:00Z,homicidio,30,41.832972861,-87.69493592
2019-08-03T05:38:00Z,homicidio,49,41.708085623,-87.624751147
2019-08-03T07:36:00Z,homicidio,25,41.879296906,-87.741216562
2019-08-03T18:56:00Z,homicidio,68,41.761023091,-87.634560148
2019-08-04T09:17:00Z,homicidio,29,41.856307213,-87.732556505
2019-08-04T23:17:00Z,homicidio,61,41.794775359,-87.673106456
2019-08-06T03:21:00Z,homicidio,69,41.769899784,-87.629881576
2019-08-05T05:38:00Z,homicidio,25,41.912660986,-87.766141074
2019-08-07T09:34:00Z,homicidio,69,41.752203876,-87.600360737
2019-08-07T23:35:00Z,homicidio,46,41.743643433,-87.561246472
2019-08-10T07:34:00Z,homicidio,23,41.892563186,-87.707686182
2019-08-10T18:35:00Z,homicidio,46,41.73871167,-87.552680462
2019-08-10T20:20:00Z,homicidio,30,41.848054645,-87.711819672
2019-08-10T23:49:00Z,homicidio,23,41.89551514,-87.710559023
2019-08-11T08:29:00Z,homicidio,38,41.821436658,-87.61249664
2019-08-12T13:52:00Z,homicidio,43,41.752755244,-87.565040309
2019-08-14T09:42:00Z,homicidio,43,41.752865122,-87.563825944
2019-08-16T00:30:00Z,homicidio,40,41.78379134,-87.620966612
2019-08-17T00:55:00Z,homicidio,29,41.866539497,-87.734982912
2019-08-16T21:42:00Z,homicidio,29,41.866539497,-87.734982912
2019-08-17T09:37:00Z,homicidio,23,41.90912332,-87.712495097
2019-08-18T09:52:00Z,homicidio,40,41.80113088,-87.619384581
2019-08-19T00:52:00Z,homicidio,52,41.715427321,-87.52935993
2019-08-20T04:13:00Z,homicidio,66,41.778730533,-87.68728733
